volume,slice,band_pos,rel_pos,ratio,method,psnr,ssim
3013.npy,68,39,1.0,0.3,cs,27.87226180717726,0.8737943314638582
3013.npy,68,39,1.0,0.3,ddnm,29.803550074705058,0.9490183653513676
3013.npy,68,39,1.0,0.5,zerofill,23.19045296120519,0.7125549977887432
3013.npy,68,39,1.0,0.5,cs,33.45743516314219,0.9808071082444384
3013.npy,68,39,1.0,0.5,ddnm,34.35587176741318,0.983912091723247
3151.npy,29,0,0.0,0.2,zerofill,10.97354313840853,0.2965081661324861
3151.npy,29,0,0.0,0.2,cs,11.42658411050613,0.4444735661185282
3151.npy,29,0,0.0,0.2,ddnm,23.597786485362843,0.626607579335335
3151.npy,29,0,0.0,0.3,zerofill,18.878818559790478,0.4576383886984745
3151.npy,29,0,0.0,0.3,cs,30.29316236309226,0.9179265428738941
3151.npy,29,0,0.0,0.3,ddnm,29.858322087358435,0.9376909517450571
3151.npy,29,0,0.0,0.5,zerofill,25.968499527346967,0.7554234828895714
3151.npy,29,0,0.0,0.5,cs,33.26556498854273,0.9727711637525173
3151.npy,29,0,0.0,0.5,ddnm,31.628842158616873,0.9627351863902924
3151.npy,35,6,0.154,0.2,zerofill,10.73575036127882,0.3321685860716141
3151.npy,35,6,0.154,0.2,cs,11.928458954352951,0.4954773664823139
3151.npy,35,6,0.154,0.2,ddnm,13.767511465632282,0.5649106087300789
3151.npy,35,6,0.154,0.3,zerofill,20.482148414964723,0.5408994949473609
3151.npy,35,6,0.154,0.3,cs,28.897336396373422,0.8985096184320065
3151.npy,35,6,0.154,0.3,ddnm,29.21897811054622,0.9252378010130704
3151.npy,35,6,0.154,0.5,zerofill,12.331121430016307,0.5093112006040085
3151.npy,35,6,0.154,0.5,cs,12.142024336424559,0.6000940746262827
3151.npy,35,6,0.154,0.5,ddnm,31.986849228448357,0.9147526186657381
3151.npy,40,11,0.282,0.2,zerofill,11.560573471796351,0.3341273438896391
3151.npy,40,11,0.282,0.2,cs,12.712153745446829,0.5352574888783566
3151.npy,40,11,0.282,0.2,ddnm,13.858324409394797,0.5578609614901818
3151.npy,40,11,0.282,0.3,zerofill,12.518045119915842,0.4316141316496298
3151.npy,40,11,0.282,0.3,cs,12.755039184879651,0.6054003520222849
3151.npy,40,11,0.282,0.3,ddnm,25.878863669030572,0.7585964329258905
3151.npy,40,11,0.282,0.5,zerofill,26.540107787788067,0.7744013181892198
3151.npy,40,11,0.282,0.5,cs,32.233125023956525,0.9686999987751782
3151.npy,40,11,0.282,0.5,ddnm,31.62190612082252,0.9582202438404246
3151.npy,46,17,0.436,0.2,zerofill,16.203526275615562,0.45078672943537873
3151.npy,46,17,0.436,0.2,cs,21.783744960180087,0.7254066511137848
3151.npy,46,17,0.436,0.2,ddnm,27.150291554988456,0.8682142711458269
3151.npy,46,17,0.436,0.3,zerofill,21.049665387477162,0.5780541243163679
3151.npy,46,17,0.436,0.3,cs,27.29251551505662,0.894649080034857
3151.npy,46,17,0.436,0.3,ddnm,28.32010791757653,0.9141172677202432
3151.npy,46,17,0.436,0.5,zerofill,22.790151032900283,0.6715570453062998
3151.npy,46,17,0.436,0.5,cs,32.0557426490152,0.9619856577119306
3151.npy,46,17,0.436,0.5,ddnm,32.63315304188612,0.9684911314533206
3151.npy,51,22,0.564,0.2,zerofill,17.498497376830468,0.44083373570728596
3151.npy,51,22,0.564,0.2,cs,23.468110596483783,0.7194317334596064
3151.npy,51,22,0.564,0.2,ddnm,28.125399507844058,0.8846230329973215
3151.npy,51,22,0.564,0.3,zerofill,19.691557079091297,0.5910961423672707
3151.npy,51,22,0.564,0.3,cs,28.775763917312958,0.9080743733643324
3151.npy,51,22,0.564,0.3,ddnm,30.10982558120319,0.9469590617007897
3151.npy,51,22,0.564,0.5,zerofill,25.378057935753553,0.7412945543768062
3151.npy,51,22,0.564,0.5,cs,31.834403999604408,0.9683987898183939
3151.npy,51,22,0.564,0.5,ddnm,31.927105997914865,0.9662089821925345
3151.npy,57,28,0.718,0.2,zerofill,17.18958915587558,0.44258300116764704
3151.npy,57,28,0.718,0.2,cs,22.368635526793042,0.7854353804776233
3151.npy,57,28,0.718,0.2,ddnm,27.57228387132539,0.8920151023176673
3151.npy,57,28,0.718,0.3,zerofill,17.472125005869724,0.5329844735684731
3151.npy,57,28,0.718,0.3,cs,27.74346077269838,0.9041777532873086
3151.npy,57,28,0.718,0.3,ddnm,30.354167090717404,0.9430610032247074
3151.npy,57,28,0.718,0.5,zerofill,23.62864795647137,0.7255282518372239
3151.npy,57,28,0.718,0.5,cs,32.35882075058798,0.9731771219196387
3151.npy,57,28,0.718,0.5,ddnm,32.00414970554045,0.9687548656436071
3151.npy,62,33,0.846,0.2,zerofill,12.524828540235234,0.3547486176381598
3151.npy,62,33,0.846,0.2,cs,13.767249719090076,0.5515802631610545
3151.npy,62,33,0.846,0.2,ddnm,16.730376231094507,0.6912708404185409
3151.npy,62,33,0.846,0.3,zerofill,13.429913788059133,0.44473670763179135
3151.npy,62,33,0.846,0.3,cs,14.213518324599972,0.6364022734899504
3151.npy,62,33,0.846,0.3,ddnm,28.407170245545593,0.8088975862055032
3151.npy,62,33,0.846,0.5,zerofill,24.38316600636279,0.7382586738085458
3151.npy,62,33,0.846,0.5,cs,32.526514338098124,0.9737741812458925
3151.npy,62,33,0.846,0.5,ddnm,32.78153400085547,0.9693425573995279
3151.npy,68,39,1.0,0.2,zerofill,11.625262382553634,0.3492489504399983
3151.npy,68,39,1.0,0.2,cs,12.610215418947135,0.5007472961475825
3151.npy,68,39,1.0,0.2,ddnm,24.74002882400886,0.7506825458549976
3151.npy,68,39,1.0,0.3,zerofill,16.89177042636502,0.46909062528255446
3151.npy,68,39,1.0,0.3,cs,26.474535829808698,0.8669318260261586
